# Generation	Energy	Composition
1	-43.71931598	Pt0Cu13
2	-43.71931598	Pt0Cu13
3	-43.71931598	Pt0Cu13
4	-43.71931598	Pt0Cu13
5	-43.71931598	Pt0Cu13
6	-43.71931598	Pt0Cu13
7	-43.71931598	Pt0Cu13
8	-43.71931598	Pt0Cu13
9	-43.71931598	Pt0Cu13
10	-43.71931598	Pt0Cu13
11	-43.71931598	Pt0Cu13
12	-43.71931598	Pt0Cu13
13	-43.71931598	Pt0Cu13
14	-43.71931598	Pt0Cu13
15	-43.71931598	Pt0Cu13
16	-43.71931598	Pt0Cu13
17	-43.71931598	Pt0Cu13
18	-43.71931598	Pt0Cu13
19	-43.71931598	Pt0Cu13
20	-43.71931598	Pt0Cu13
21	-43.71931598	Pt0Cu13
22	-43.71931598	Pt0Cu13
23	-43.71931598	Pt0Cu13
24	-43.71931598	Pt0Cu13
25	-43.71931598	Pt0Cu13
26	-43.71931598	Pt0Cu13
27	-43.71931598	Pt0Cu13
28	-43.71931598	Pt0Cu13
29	-43.71931598	Pt0Cu13
30	-43.71931598	Pt0Cu13
31	-43.71931598	Pt0Cu13
32	-43.71931598	Pt0Cu13
33	-43.71931598	Pt0Cu13
34	-43.71931598	Pt0Cu13
35	-43.71931598	Pt0Cu13
36	-43.71931598	Pt0Cu13
37	-43.71931598	Pt0Cu13
38	-43.71931598	Pt0Cu13
39	-43.71931598	Pt0Cu13
40	-43.71931598	Pt0Cu13
41	-43.71931598	Pt0Cu13
42	-43.71931598	Pt0Cu13
43	-43.71931598	Pt0Cu13
44	-43.71931598	Pt0Cu13
45	-43.71931598	Pt0Cu13
