# Generation	Energy	Composition
1	-60.03050945	Pt0Cu23
2	-60.03050946	Pt0Cu23
3	-60.03050946	Pt0Cu23
4	-60.03050946	Pt0Cu23
5	-60.03050946	Pt0Cu23
6	-60.03050946	Pt0Cu23
7	-60.03050946	Pt0Cu23
8	-60.03050946	Pt0Cu23
9	-60.03050946	Pt0Cu23
10	-60.03050946	Pt0Cu23
11	-60.03050946	Pt0Cu23
12	-60.03050946	Pt0Cu23
13	-60.03050946	Pt0Cu23
14	-60.03050946	Pt0Cu23
15	-60.03050946	Pt0Cu23
16	-60.03050946	Pt0Cu23
17	-60.03050946	Pt0Cu23
18	-60.03050946	Pt0Cu23
19	-60.03050946	Pt0Cu23
20	-60.03050946	Pt0Cu23
21	-60.03050946	Pt0Cu23
22	-60.03050946	Pt0Cu23
23	-60.03050946	Pt0Cu23
24	-60.03050946	Pt0Cu23
25	-60.03050946	Pt0Cu23
26	-60.03050946	Pt0Cu23
27	-60.03050946	Pt0Cu23
28	-60.03050946	Pt0Cu23
29	-60.03050946	Pt0Cu23
30	-60.03050946	Pt0Cu23
31	-60.03050946	Pt0Cu23
32	-60.03050946	Pt0Cu23
33	-60.03050946	Pt0Cu23
34	-60.03050946	Pt0Cu23
35	-60.03050946	Pt0Cu23
36	-60.03050946	Pt0Cu23
37	-60.03050946	Pt0Cu23
38	-60.03050946	Pt0Cu23
39	-60.03050946	Pt0Cu23
40	-60.03050946	Pt0Cu23
41	-60.03050946	Pt0Cu23
42	-60.03050946	Pt0Cu23
43	-60.03050946	Pt0Cu23
44	-60.03050946	Pt0Cu23
45	-60.03050946	Pt0Cu23
46	-60.03050946	Pt0Cu23
47	-60.03050946	Pt0Cu23
48	-60.03050946	Pt0Cu23
49	-60.03050946	Pt0Cu23
50	-60.03050946	Pt0Cu23
51	-60.03050946	Pt0Cu23
52	-60.03050946	Pt0Cu23
53	-60.03050946	Pt0Cu23
54	-60.03050946	Pt0Cu23
55	-60.03050946	Pt0Cu23
56	-60.03050946	Pt0Cu23
57	-60.03050946	Pt0Cu23
58	-60.03050946	Pt0Cu23
59	-60.03050946	Pt0Cu23
60	-60.03050946	Pt0Cu23
61	-60.03050946	Pt0Cu23
62	-60.03050946	Pt0Cu23
63	-60.03050946	Pt0Cu23
64	-60.03050946	Pt0Cu23
65	-60.03050946	Pt0Cu23
66	-60.03050946	Pt0Cu23
67	-60.03050946	Pt0Cu23
68	-60.03050946	Pt0Cu23
69	-60.03050946	Pt0Cu23
70	-60.03050946	Pt0Cu23
71	-60.03050946	Pt0Cu23
72	-60.03050946	Pt0Cu23
73	-60.03050946	Pt0Cu23
74	-60.03050946	Pt0Cu23
75	-60.03050946	Pt0Cu23
76	-60.03050946	Pt0Cu23
77	-60.03050946	Pt0Cu23
78	-60.03050946	Pt0Cu23
79	-60.03050946	Pt0Cu23
80	-60.03050946	Pt0Cu23
81	-60.03050946	Pt0Cu23
82	-60.03050946	Pt0Cu23
83	-60.03050946	Pt0Cu23
84	-60.03050946	Pt0Cu23
85	-60.03050946	Pt0Cu23
86	-60.03050946	Pt0Cu23
87	-60.03050946	Pt0Cu23
88	-60.03050946	Pt0Cu23
89	-60.03050946	Pt0Cu23
90	-60.03050946	Pt0Cu23
91	-60.03050946	Pt0Cu23
92	-60.03050946	Pt0Cu23
93	-60.03050946	Pt0Cu23
94	-60.03050946	Pt0Cu23
95	-60.03050946	Pt0Cu23
96	-60.03050946	Pt0Cu23
97	-60.03050946	Pt0Cu23
98	-60.03050946	Pt0Cu23
99	-60.03050946	Pt0Cu23
100	-60.03050946	Pt0Cu23
