# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu23	-82.805060	-82.805060	0.000000	3
Pt1Cu22	-83.601268	-83.601268	0.000000	3
Pt2Cu21	-84.390751	-84.390751	0.000000	3
Pt3Cu20	-85.174884	-85.174884	0.000000	3
Pt4Cu19	-85.983487	-85.983487	0.000000	3
Pt5Cu18	-86.758769	-86.758769	0.000000	3
Pt6Cu17	-87.561653	-87.561653	0.000000	3
Pt7Cu16	-88.346591	-88.346591	0.000000	3
Pt8Cu15	-89.122013	-89.122013	0.000000	3
Pt9Cu14	-89.911522	-89.911522	0.000000	3
Pt10Cu13	-90.720614	-90.720614	0.000000	3
Pt11Cu12	-91.548775	-91.548775	0.000000	3
Pt12Cu11	-92.171310	-92.171310	0.000000	3
Pt13Cu10	-92.808309	-92.808309	0.000000	3
Pt14Cu9	-93.464160	-93.464160	0.000000	3
Pt15Cu8	-94.120352	-94.120352	0.000000	3
Pt16Cu7	-94.737741	-94.737741	0.000000	3
Pt17Cu6	-95.372783	-95.372783	0.000000	3
Pt18Cu5	-96.022338	-96.022338	0.000000	3
Pt19Cu4	-96.673753	-96.673753	0.000000	3
Pt20Cu3	-97.286087	-97.286087	0.000000	3
Pt21Cu2	-97.915403	-97.915403	0.000000	3
Pt22Cu1	-98.562524	-98.562524	0.000000	3
Pt23Cu0	-99.209243	-99.209243	0.000000	3

# Global Best: Pt23Cu0 with energy -99.209243 eV
