# Generation	Energy	Composition
1	-152.1310288	Pt14Cu24
2	-152.1310288	Pt14Cu24
3	-152.1310288	Pt14Cu24
4	-152.1310288	Pt14Cu24
5	-152.3306876	Pt14Cu24
6	-152.4882612	Pt14Cu24
7	-152.6802078	Pt14Cu24
8	-152.6802078	Pt14Cu24
9	-152.6802078	Pt14Cu24
10	-152.6802078	Pt14Cu24
11	-152.7908179	Pt14Cu24
12	-153.1238853	Pt14Cu24
13	-153.1238853	Pt14Cu24
14	-153.1238853	Pt14Cu24
15	-153.1238853	Pt14Cu24
16	-153.1531452	Pt14Cu24
17	-153.1531452	Pt14Cu24
18	-153.2524293	Pt14Cu24
19	-153.2524293	Pt14Cu24
20	-153.2524293	Pt14Cu24
21	-153.2934484	Pt14Cu24
22	-153.2934484	Pt14Cu24
23	-153.4174469	Pt14Cu24
24	-153.4174469	Pt14Cu24
25	-153.4182993	Pt14Cu24
26	-153.4182993	Pt14Cu24
27	-153.558939	Pt14Cu24
28	-153.558939	Pt14Cu24
29	-153.5924547	Pt14Cu24
30	-153.6459445	Pt14Cu24
31	-153.6459445	Pt14Cu24
32	-153.7073497	Pt14Cu24
33	-153.7073497	Pt14Cu24
34	-153.7073497	Pt14Cu24
35	-153.7073497	Pt14Cu24
36	-153.7073497	Pt14Cu24
37	-153.7073497	Pt14Cu24
38	-153.7073497	Pt14Cu24
39	-153.7073497	Pt14Cu24
40	-153.7073497	Pt14Cu24
41	-153.7073498	Pt14Cu24
42	-153.7073498	Pt14Cu24
43	-153.7073498	Pt14Cu24
44	-153.7207198	Pt14Cu24
45	-153.7516116	Pt14Cu24
46	-153.7760411	Pt14Cu24
47	-153.7760411	Pt14Cu24
48	-153.7760411	Pt14Cu24
49	-153.8316558	Pt14Cu24
50	-153.8316558	Pt14Cu24
51	-153.8316558	Pt14Cu24
52	-153.8316558	Pt14Cu24
53	-153.8316558	Pt14Cu24
54	-153.8316558	Pt14Cu24
55	-153.8316558	Pt14Cu24
56	-153.8316558	Pt14Cu24
57	-153.8316558	Pt14Cu24
58	-153.8316558	Pt14Cu24
59	-153.8316558	Pt14Cu24
60	-153.9060981	Pt14Cu24
61	-153.9064156	Pt14Cu24
62	-153.9064156	Pt14Cu24
63	-153.9064156	Pt14Cu24
64	-153.9064156	Pt14Cu24
65	-153.9064156	Pt14Cu24
66	-154.1356331	Pt14Cu24
67	-154.1356331	Pt14Cu24
68	-154.1356331	Pt14Cu24
69	-154.1356331	Pt14Cu24
70	-154.1356331	Pt14Cu24
71	-154.1356331	Pt14Cu24
72	-154.1356331	Pt14Cu24
73	-154.1356331	Pt14Cu24
74	-154.1356331	Pt14Cu24
75	-154.1356331	Pt14Cu24
76	-154.1356331	Pt14Cu24
77	-154.1356331	Pt14Cu24
78	-154.1356331	Pt14Cu24
79	-154.1356331	Pt14Cu24
80	-154.1356331	Pt14Cu24
81	-154.1617365	Pt14Cu24
82	-154.1617365	Pt14Cu24
83	-154.1617365	Pt14Cu24
84	-154.1617365	Pt14Cu24
85	-154.1617365	Pt14Cu24
86	-154.1617365	Pt14Cu24
87	-154.1617365	Pt14Cu24
88	-154.1617365	Pt14Cu24
89	-154.1617365	Pt14Cu24
90	-154.2142583	Pt14Cu24
91	-154.2142583	Pt14Cu24
92	-154.2142583	Pt14Cu24
93	-154.2142583	Pt14Cu24
94	-154.2142583	Pt14Cu24
95	-154.2142583	Pt14Cu24
96	-154.2142583	Pt14Cu24
97	-154.2142583	Pt14Cu24
98	-154.2142583	Pt14Cu24
99	-154.2142583	Pt14Cu24
100	-154.2142583	Pt14Cu24
