# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu13	-33.336960	-33.336960	0.000000	3
Pt1Cu12	-37.402601	-37.402601	0.000000	3
Pt2Cu11	-39.828654	-39.828654	0.000000	3
Pt3Cu10	-42.322301	-42.322301	0.000000	3
Pt4Cu9	-44.796338	-44.796338	0.000000	3
Pt5Cu8	-47.174988	-47.174988	0.000000	3
Pt6Cu7	-49.550083	-49.550083	0.000000	3
Pt7Cu6	-51.832517	-51.832517	0.000000	3
Pt8Cu5	-54.086164	-54.086164	0.000000	3
Pt9Cu4	-56.343595	-56.343595	0.000000	3
Pt10Cu3	-58.506659	-58.506659	0.000000	3
Pt11Cu2	-60.627426	-60.627426	0.000000	3
Pt12Cu1	-62.756913	-62.756913	0.000000	3
Pt13Cu0	-64.916339	-64.916339	0.000000	3

# Global Best: Pt13Cu0 with energy -64.916339 eV
