# Generation	Energy	Composition
1	-188.4742231	Pt33Cu5
2	-188.5185459	Pt33Cu5
3	-188.8167238	Pt33Cu5
4	-188.8684947	Pt33Cu5
5	-188.8684947	Pt33Cu5
6	-188.8684947	Pt33Cu5
7	-189.1232226	Pt33Cu5
8	-189.1232226	Pt33Cu5
9	-189.129483	Pt33Cu5
10	-189.129483	Pt33Cu5
11	-189.129483	Pt33Cu5
12	-189.129483	Pt33Cu5
13	-189.129483	Pt33Cu5
14	-189.129483	Pt33Cu5
15	-189.1389616	Pt33Cu5
16	-189.1389616	Pt33Cu5
17	-189.1874114	Pt33Cu5
18	-189.2053379	Pt33Cu5
19	-189.2053379	Pt33Cu5
20	-189.2053379	Pt33Cu5
21	-189.2053379	Pt33Cu5
22	-189.2055648	Pt33Cu5
23	-189.2055648	Pt33Cu5
24	-189.2055648	Pt33Cu5
25	-189.2111796	Pt33Cu5
26	-189.2111796	Pt33Cu5
27	-189.2188258	Pt33Cu5
28	-189.2188258	Pt33Cu5
29	-189.2188577	Pt33Cu5
30	-189.2188577	Pt33Cu5
31	-189.2188577	Pt33Cu5
32	-189.2188577	Pt33Cu5
33	-189.2204761	Pt33Cu5
34	-189.2204761	Pt33Cu5
35	-189.2204761	Pt33Cu5
36	-189.2204761	Pt33Cu5
37	-189.2204761	Pt33Cu5
38	-189.2204761	Pt33Cu5
39	-189.2204761	Pt33Cu5
40	-189.2204761	Pt33Cu5
41	-189.2204761	Pt33Cu5
42	-189.2204761	Pt33Cu5
43	-189.2204761	Pt33Cu5
44	-189.2204761	Pt33Cu5
45	-189.2204761	Pt33Cu5
46	-189.2204761	Pt33Cu5
47	-189.2204761	Pt33Cu5
48	-189.2204761	Pt33Cu5
49	-189.2204761	Pt33Cu5
50	-189.2204761	Pt33Cu5
51	-189.2204761	Pt33Cu5
52	-189.2204761	Pt33Cu5
53	-189.2204761	Pt33Cu5
54	-189.2204761	Pt33Cu5
55	-189.2204761	Pt33Cu5
56	-189.2204761	Pt33Cu5
57	-189.2204761	Pt33Cu5
58	-189.2204761	Pt33Cu5
59	-189.2204761	Pt33Cu5
60	-189.2204761	Pt33Cu5
61	-189.2204761	Pt33Cu5
62	-189.2204761	Pt33Cu5
63	-189.2204761	Pt33Cu5
64	-189.2204761	Pt33Cu5
65	-189.2204761	Pt33Cu5
66	-189.2204761	Pt33Cu5
67	-189.2204761	Pt33Cu5
68	-189.2204761	Pt33Cu5
69	-189.2204761	Pt33Cu5
70	-189.2204761	Pt33Cu5
71	-189.2204761	Pt33Cu5
72	-189.2204761	Pt33Cu5
73	-189.2204761	Pt33Cu5
74	-189.2204761	Pt33Cu5
75	-189.2204761	Pt33Cu5
76	-189.2204761	Pt33Cu5
77	-189.2204761	Pt33Cu5
78	-189.2204761	Pt33Cu5
79	-189.2204761	Pt33Cu5
80	-189.2204761	Pt33Cu5
81	-189.2204761	Pt33Cu5
82	-189.2204761	Pt33Cu5
83	-189.2204761	Pt33Cu5
84	-189.2204761	Pt33Cu5
85	-189.2204761	Pt33Cu5
86	-189.2204761	Pt33Cu5
87	-189.2204761	Pt33Cu5
88	-189.2204761	Pt33Cu5
89	-189.2204761	Pt33Cu5
90	-189.2204761	Pt33Cu5
91	-189.2204761	Pt33Cu5
92	-189.2204761	Pt33Cu5
93	-189.2204761	Pt33Cu5
94	-189.2204761	Pt33Cu5
95	-189.2204761	Pt33Cu5
96	-189.2204761	Pt33Cu5
97	-189.2204761	Pt33Cu5
98	-189.2204761	Pt33Cu5
99	-189.2204761	Pt33Cu5
100	-189.2204761	Pt33Cu5
