# Generation	Energy	Composition
1	-5384.580445	Pt4Cu19
2	-5387.77716	Pt4Cu19
3	-5389.475319	Pt4Cu19
4	-5392.721307	Pt4Cu19
5	-5392.721307	Pt4Cu19
6	-5392.721307	Pt4Cu19
7	-5392.721307	Pt4Cu19
8	-5392.721307	Pt4Cu19
9	-5392.721307	Pt4Cu19
10	-5392.721307	Pt4Cu19
11	-5392.721307	Pt4Cu19
12	-5392.721307	Pt4Cu19
13	-5392.721307	Pt4Cu19
14	-5392.721307	Pt4Cu19
15	-5392.721307	Pt4Cu19
16	-5392.721307	Pt4Cu19
17	-5392.721307	Pt4Cu19
18	-5392.721307	Pt4Cu19
19	-5392.721307	Pt4Cu19
20	-5392.721307	Pt4Cu19
21	-5392.721307	Pt4Cu19
22	-5392.721307	Pt4Cu19
23	-5392.721307	Pt4Cu19
24	-5392.721307	Pt4Cu19
25	-5392.721307	Pt4Cu19
26	-5392.721307	Pt4Cu19
27	-5392.721307	Pt4Cu19
28	-5392.721307	Pt4Cu19
29	-5392.721307	Pt4Cu19
30	-5392.721307	Pt4Cu19
31	-5392.721307	Pt4Cu19
32	-5392.721307	Pt4Cu19
33	-5392.721307	Pt4Cu19
34	-5392.721307	Pt4Cu19
35	-5392.721307	Pt4Cu19
36	-5392.721307	Pt4Cu19
37	-5392.721307	Pt4Cu19
38	-5392.721307	Pt4Cu19
39	-5392.721307	Pt4Cu19
40	-5392.721307	Pt4Cu19
41	-5392.721307	Pt4Cu19
42	-5392.721307	Pt4Cu19
43	-5392.721307	Pt4Cu19
44	-5392.721307	Pt4Cu19
45	-5392.721307	Pt4Cu19
46	-5392.721307	Pt4Cu19
47	-5392.721307	Pt4Cu19
48	-5392.721307	Pt4Cu19
49	-5392.721307	Pt4Cu19
50	-5392.721307	Pt4Cu19
51	-5392.721307	Pt4Cu19
52	-5392.721307	Pt4Cu19
53	-5392.721307	Pt4Cu19
54	-5392.721307	Pt4Cu19
55	-5392.721307	Pt4Cu19
56	-5392.721307	Pt4Cu19
57	-5392.721307	Pt4Cu19
58	-5392.721307	Pt4Cu19
59	-5392.721307	Pt4Cu19
60	-5392.721307	Pt4Cu19
61	-5392.721307	Pt4Cu19
62	-5392.721307	Pt4Cu19
63	-5392.721307	Pt4Cu19
64	-5392.721307	Pt4Cu19
65	-5392.721307	Pt4Cu19
66	-5392.721307	Pt4Cu19
67	-5392.721307	Pt4Cu19
68	-5392.721307	Pt4Cu19
69	-5392.721307	Pt4Cu19
70	-5392.721307	Pt4Cu19
71	-5392.721307	Pt4Cu19
72	-5392.721307	Pt4Cu19
73	-5392.721307	Pt4Cu19
74	-5392.721307	Pt4Cu19
75	-5392.721307	Pt4Cu19
76	-5392.721307	Pt4Cu19
77	-5392.721307	Pt4Cu19
78	-5392.721307	Pt4Cu19
79	-5392.721307	Pt4Cu19
80	-5392.721307	Pt4Cu19
81	-5392.721307	Pt4Cu19
82	-5392.721307	Pt4Cu19
83	-5392.721307	Pt4Cu19
84	-5392.721307	Pt4Cu19
85	-5392.721307	Pt4Cu19
86	-5392.721307	Pt4Cu19
87	-5392.721307	Pt4Cu19
88	-5392.721307	Pt4Cu19
89	-5392.721307	Pt4Cu19
90	-5392.721307	Pt4Cu19
91	-5392.721307	Pt4Cu19
92	-5392.721307	Pt4Cu19
93	-5392.721307	Pt4Cu19
94	-5392.721307	Pt4Cu19
95	-5392.721307	Pt4Cu19
96	-5392.721307	Pt4Cu19
97	-5392.721307	Pt4Cu19
98	-5392.721307	Pt4Cu19
99	-5392.721307	Pt4Cu19
100	-5392.721307	Pt4Cu19
