# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu23	-5191.431656	-5191.431656	0.000000	3
Pt1Cu22	-5251.569184	-5251.569184	0.000000	3
Pt2Cu21	-5309.410797	-5309.410797	0.000000	3
Pt3Cu20	-5351.901833	-5351.901833	0.000000	3
Pt4Cu19	-5392.721307	-5392.721307	0.000000	3
Pt5Cu18	-5433.648642	-5433.648642	0.000000	3
Pt6Cu17	-5471.666589	-5471.666589	0.000000	3
Pt7Cu16	-5509.687406	-5509.687406	0.000000	3
Pt8Cu15	-5546.399611	-5546.399611	0.000000	3
Pt9Cu14	-5582.070936	-5582.070936	0.000000	3
Pt10Cu13	-5616.335472	-5616.335472	0.000000	3
Pt11Cu12	-5650.311496	-5650.146032	0.117001	3
Pt12Cu11	-5682.170718	-5682.170718	0.000000	3
Pt13Cu10	-5713.908808	-5713.414327	0.699301	3
Pt14Cu9	-5743.787430	-5743.787430	0.000000	3
Pt15Cu8	-5774.788910	-5774.075898	0.504176	3
Pt16Cu7	-5804.955430	-5804.955430	0.000000	3
Pt17Cu6	-5834.375820	-5834.375820	0.000000	3
Pt18Cu5	-5863.723343	-5863.723343	0.000000	3
Pt19Cu4	-5892.591677	-5892.591677	0.000000	3
Pt20Cu3	-5919.438072	-5919.438072	0.000000	3
Pt21Cu2	-5945.121254	-5945.121254	0.000000	3
Pt22Cu1	-5970.856954	-5970.856954	0.000000	3
Pt23Cu0	-5990.738819	-5990.738819	0.000000	3

# Global Best: Pt23Cu0 with energy -5990.738819 eV
